artist_name,total_minutes,track_count,genres
.Eehou,71.93068333333333,11,lo-fi jazzhop
21 Savage,235.5337,23,"atl hip hop, hip hop, rap"
50 Cent,182.56198333333333,22,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
A Boogie Wit da Hoodie,182.01716666666667,37,"melodic rap, rap, trap"
A$AP Rocky,360.1042,32,"east coast hip hop, hip hop, rap"
AC/DC,130.85381666666666,18,"australian rock, hard rock, rock"
ALIZADE,466.1893166666667,11,zhenskiy rep
Aaron May,129.29203333333334,12,conscious hip hop
Adamlar,1605.9723666666666,31,turkish rock
Adele,277.89866666666666,16,clap and tap
Aerosmith,242.2543,18,"album rock, classic rock, hard rock, rock"
Aga B,90.62933333333334,28,"baton rouge rap, rap"
Ajda Pekkan,1206.4295,60,"turkish pop, turkish psych"
Alec Benjamin,122.73986666666669,11,"alt z, pop, pov: indie"
Alicia Keys,137.39256666666665,29,"neo soul, pop, r&b"
Amy Winehouse,1271.98425,62,"british soul, neo soul"
AnnenMayKantereit,149.98195,24,"cologne indie, german singer-songwriter"
Anthony Lazaro,52.059466666666665,14,jazz pop
Antonio Pinto,54.289766666666665,11,latin soundtrack
Anıl Piyancı,595.2381833333334,18,"turkce drill, turkish hip hop, turkish trap"
Arcade Fire,133.96965,16,"alternative rock, baroque pop, canadian indie, canadian indie rock, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock"
Arctic Monkeys,2632.3816833333335,92,"garage rock, modern rock, permanent wave, rock, sheffield indie"
Ariana Grande,123.7036,24,pop
Artemas,135.14825,13,
Ash,2235.0963166666666,46,"alternative pop rock, neon pop punk, pop emo, texas pop punk"
Aso,39.26181666666667,11,
Aspova,114.4391,12,turkish hip hop
Athena,531.3881833333334,24,"turkish pop, turkish punk, turkish rock"
Ati242,575.6171,22,turkish hip hop
Atiye,65.31256666666667,14,turkish pop
Azito,530.4000666666667,14,
Aşkın Nur Yengi,123.41086666666666,11,turkish pop
B.o.B,168.11498333333333,14,
BEGE,642.8806,18,"turkce drill, turkish hip hop, turkish trap"
BGM channel,3102.766616666667,41,"background music, dinner jazz"
BLOK3,720.7719666666667,29,turkce drill
Badem,46.00091666666667,15,turkish rock
Balthazar,707.7369333333334,26,"belgian indie, belgian rock, ghent indie"
Barış Akarsu,156.45998333333333,13,"anadolu rock, karadeniz turkuleri, turkish pop, turkish rock"
Barış Manço,253.94521666666665,24,"anadolu rock, turkish instrumental, turkish psych, turkish rock"
Beach House,469.05625,24,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
Bee Gees,101.93531666666668,12,"disco, mellow gold, soft rock"
Ben Böhmer,152.04078333333334,15,melodic house
Ben Fero,98.84548333333332,12,"turkce drill, turkish hip hop, turkish trap"
Bengü,295.6599166666667,21,turkish pop
Beyoncé,173.62251666666666,23,"pop, r&b"
Billie Eilish,509.6458333333333,48,"art pop, pop"
Birdy,45.30425,11,"neo mellow, uk pop, viral pop"
Birileri,2605.22285,38,"turkish alt pop, turkish rock"
Black Coffee,282.87491666666665,23,"south african house, south african pop dance"
Blood Orange,128.01095,20,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis"
Bob Dylan,290.4605666666667,43,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter"
Bob Moses,189.66216666666668,13,"canadian electronic, canadian house"
Bon Iver,298.34133333333335,33,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
Brent Faiyaz,114.91203333333333,12,"r&b, rap"
Britney Spears,329.09051666666664,22,"dance pop, pop"
Bruno Mars,199.83105,14,"dance pop, pop"
Bulutsuzluk Özlemi,193.31131666666667,11,"anadolu rock, turkish punk, turkish rock"
Bülent Ortaçgil,132.54011666666668,18,"turkish jazz, turkish rock, turkish singer-songwriter"
Büyük Ev Ablukada,2913.8287,60,"turkish alternative rock, turkish rock"
Cafe Music BGM channel,14673.445766666666,138,"background music, dinner jazz"
Cage The Elephant,851.3145,35,"modern alternative rock, modern rock, pov: indie, punk blues, rock"
Calvin Harris,150.62778333333333,17,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Can Bonomo,669.8906333333333,37,"turkish pop, turkish rock"
Can Gox,83.30265,11,turkish rock
Can Kazaz,118.1734,12,"turkish alt pop, turkish rock"
Candan Erçetin,872.3532833333334,45,turkish pop
