title,overview,release_date,vote_average,vote_count,genres,original_language
,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",,8.4,8126,Comedy,en
,"An agnostic sex podcaster and a newly single rabbi fall in love, but can their relationship survive their wildly different lives and meddling families?",,7.569,130,"Comedy, Drama",en
,"Reexamining his own legacy, a renowned figure in erotic cinema decides to branch out and make movies in other genres, from sci-fi to medieval action.",,6.844,61,Comedy,tr
American Factory,"In post-industrial Ohio, a Chinese billionaire opens a new factory in the husk of an abandoned General Motors plant, hiring two thousand blue-collar Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class America.",2019-08-21,7.2,453,Documentary,en
,"When ambitious Chicago marketing exec Emily unexpectedly lands her dream job in Paris, she embraces a new life as she juggles work, friends and romance.",,7.7,1379,"Drama, Comedy",en
Mortal World 2,"Mortal World 2 tells the story of the Mermer family, who now continues their lives as outlaws, struggles with their own problems. Serhan has difficulty adjusting Begüm, who is pregnant, to their new life. While Serhat is now missing a woman in his life, Gazanfer struggles to keep his family together against the organization. However, Zafer's fall into the hands of the organization turns everyone's lives upside down. Looking for a way to reach Zafer, Gazanfer finds the solution by asking for help from an old friend. This time, the Mermer family will have to make one last heist to reunite with their children.",2023-12-01,6.3,30,"Comedy, Action, Crime",tr
,"At a historic Istanbul hotel, a journalist is unexpectedly thrust into the past and must stop a plot that could change the fate of modern Turkey.",,7.6,58,"Drama, Mystery, Crime",tr
Uglies,"In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.",2024-09-12,5.9,673,"Science Fiction, Adventure, Action",en
Rebel Ridge,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,2024-08-27,7.0,1112,"Crime, Action, Thriller, Drama",en
,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",,8.918,14811,"Drama, Crime",en
Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022-03-24,7.771,6667,"Action, Adventure, Science Fiction",en
Source Code,"When decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, he discovers he's part of a mission to find the bomber of a Chicago commuter train.",2011-03-30,7.305,8351,"Thriller, Science Fiction, Mystery",en
,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,,8.2,2114,"Drama, Mystery",en
Cem Yılmaz: Diamond Elite Platinum Plus,"In an irreverent but heartfelt stand-up show, Turkish comedian Cem Yılmaz shares stories about childhood, social media and Turks on holiday abroad.",2021-12-31,5.992,63,"Comedy, TV Movie, Documentary",tr
Ricky Gervais: Armageddon,Ricky Gervais dishes out controversial takes on political correctness and oversensitivity in a taboo-busting comedy special about the end of humanity. Recorded at The London Palladium.,2023-12-01,7.2,154,Comedy,en
,"When Clary Fray's mother has disappeared, Clary joins a band of Shadowhunters; demon killing hunters, and gets caught up in a plan to save the world.",,7.557,1085,"Unknown, Drama, Unknown",en
,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",,8.097,6987,"Unknown, Drama, Unknown",en
The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",2010-01-14,6.787,6122,"Action, Thriller, Science Fiction",en
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,8.469,27654,"Comedy, Drama, Romance",en
Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,6.79,10386,"Science Fiction, Action, Adventure",en
,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",,7.9,1048,"Comedy, Drama",en
,"After a painful breakup, a young lawyer dives head first into the confusing world of modern dating, with the unwavering support of her best friends.",,7.5,30,"Drama, Comedy",tr
Borderless Fog,A big-city detective investigates a series of gruesome murders along the Indonesia-Malaysia border — forcing her to confront ghosts from her past.,2024-07-31,6.3,62,"Thriller, Crime, Mystery, Drama",id
,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",,8.541,9510,"Unknown, Unknown, Drama",en
Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",2016-08-03,5.9,21162,"Action, Adventure, Fantasy",en
,"When five ordinary South Londoners discover they have extraordinary powers, it's down to just one man to bring them together to save the woman he loves.",,7.525,178,"Unknown, Unknown, Drama",en
Code 8 Part II,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",2024-02-27,6.387,580,"Science Fiction, Action, Crime",en
,"Three friends arrive in a seaside town, where they connect with their spiritual selves and suddenly face unresolved trauma from their families' pasts.",,7.6,74,Drama,tr
xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",2017-01-13,6.136,8892,"Action, Adventure, Crime",en
,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",,8.1,2861,Drama,en
Brothers,"A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other.",2024-10-10,6.007,224,"Action, Comedy, Crime",en
,A writer in a creative and marital crisis finds refuge and support in her three best friends. Based on the novels by Elisabet Benavent.,,7.4,229,"Comedy, Drama",es
